Sales Table,,,,,,,,,,,,,,,,,
Company:Nationa Store,,,,,,,,,,,,,,,,,
Department,,,,,,,,,,,,,,,,,
Row ID,Order ID,Order Date,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Customer Rating,Selling Price
44,MA-2017-120999,9/10/2023,LC-16930,Jalebbi,Restaurants,India,Kolkata,West Bengal,East,FACES-34632592,Beauty & Cosmetics,Face,Faces Canada 3in1 Matte Foundation - Absolute Ivory : 25 ml,7137,13,1,549
45,MA-2016-101343,7/17/2022,RA-19885,Maggi Baba the shop,Restaurants,India,Varanasi,Uttar Pradesh,North,FACES-34632593,Beauty & Cosmetics,Face,Faces Canada Matte Finish Foundation - Natural 03: 15 ml,2475,11,7,225
46,KA-2017-139619,9/19/2023,ES-14080,Shahi Restaurant,Restaurants,India,Patna,Bihar,East,LAKME-34632594,Beauty & Cosmetics,Face,Lakme 9to5 Primer + Matte Cover Foundation - N200 Neutral Nude : 25 ml,5250,10,10,525
47,KE-2016-118255,3/11/2022,ON-18715,The Market,Restaurants,India,Kochi,Kerala,South,LAKME-34632595,Beauty & Cosmetics,Face,Lakme 9to5 Mousse Foundation - Rose Honey : 25 gms,16250,25,6,650
48,KE-2016-118255,3/11/2022,ON-18715,The Market,Restaurants,India,Kochi,Kerala,South,INSIGHT-34632596,Beauty & Cosmetics,Face,Insight Ultra-Thin Foundation - 03 Sunbeige : 20 ml,5060,22,9,230
49,MA-2014-146703,10/20/2022,PO-18865,Village Harvest Store,Retailer,India,Bhubaneswar,Odisha,East,MAYBELLINE-34632597,Beauty & Cosmetics,Face,Maybelline New York Fit Me Liquid Foundation - 310 : 30 ml,14927,23,9,649
50,MA-2016-169194,6/20/2022,LH-16900,Annapurna Grocery,Retailer,India,Indore,Madhya Pradesh,Central,INSIGHT-34632598,Beauty & Cosmetics,Face,Insight HD Foundation - LNP15 : 20 ml,6050,22,6,275
51,MA-2016-169194,6/20/2022,LH-16900,Annapurna Grocery,Retailer,India,Indore,Madhya Pradesh,Central,LOTUS-34632599,Beauty & Cosmetics,Face,Lotus Make-Up Ecostay Foundation - Royal Pearl : 30 ml,8340,12,5,695
52,HA-2015-115742,4/18/2023,DP-13000,Everyday Essentials,Retailer,India,Indore,Madhya Pradesh,Central,INSIGHT-34632600,Beauty & Cosmetics,Face,Insight HD Foundation - LN10 : 20 ml,7425,27,5,275
53,HA-2015-115742,4/18/2023,DP-13000,Everyday Essentials,Retailer,India,Indore,Madhya Pradesh,Central,FACES-34632601,Beauty & Cosmetics,Face,Faces Canada Second Skin Foundation - Rich Ivory 013: 15 ml,,,,
54,HA-2015-115742,4/18/2023,DP-13000,Everyday Essentials,Retailer,India,Indore,Madhya Pradesh,Central,FACES-34632602,Beauty & Cosmetics,Face,Faces Canada Weightless Matte Finish Compact Powder – Natural : 9 gm,4050,18,3,225
55,HA-2015-115742,4/18/2023,DP-13000,Everyday Essentials,Retailer,India,Indore,Madhya Pradesh,Central,LAKME-34632603,Beauty & Cosmetics,Face,Lakme Rose Face Powder With Sunscreen - Soft Pink : 40 gms,4500,20,8,225
56,MA-2016-105816,12/11/2022,JM-15265,Tiger Trail,Restaurants,India,Agra,Uttar Pradesh,North,LAKME-34632604,Beauty & Cosmetics,Face,Lakme Sun Expert Ultra Matte SPF 40 PA+++ Compact : 7 gms,6175,19,1,325
57,MA-2016-105816,12/11/2022,JM-15265,Tiger Trail,Restaurants,India,Agra,Uttar Pradesh,North,LAKME-34632605,Beauty & Cosmetics,Face,Lakme 9to5 Matte Complexion Compact - Melon : 8 gms,5990,10,1,599
58,MA-2016-111682,6/17/2022,TB-21055,Spice Valley Mart,Retailer,India,Amritsar,Punjab,North,MAYBELLINE-34632606,Beauty & Cosmetics,Face,Maybelline Fit Me Compact - 310 Sun Beige : 6 gm,7263,27,5,269
59,MA-2016-111682,6/17/2022,TB-21055,Spice Valley Mart,Retailer,India,Amritsar,Punjab,North,LAKME-34632607,Beauty & Cosmetics,Face,Lakme Perfect Radiance Compact - Golden Medium 03 : 8 gms,4250,17,9,250
60,MA-2016-111682,6/17/2022,TB-21055,Spice Valley Mart,Retailer,India,Amritsar,Punjab,North,BLUE-34632608,Beauty & Cosmetics,Face,Blue Heaven Flaw Finishing Compact - Powder Natural : 20 gms,3150,21,9,150
61,MA-2016-111682,6/17/2022,TB-21055,Spice Valley Mart,Retailer,India,Amritsar,Punjab,North,BLUE-34632609,Beauty & Cosmetics,Face,Blue Heaven Pearl Glow Compact - Honey Medium : 9 gms,1820,14,6,130
62,,,,,,,,,,,,,,,,,
63,MA-2016-111682,6/17/2022,TB-21055,Spice Valley Mart,Retailer,India,Amritsar,Punjab,North,INSIGHT-34632611,Beauty & Cosmetics,Face,Insight Pro Concealer Palette - Concealer : 15 gms,5060,22,10,230
64,MA-2016-111682,6/17/2022,TB-21055,Spice Valley Mart,Retailer,India,Amritsar,Punjab,North,INSIGHT-34632612,Beauty & Cosmetics,Face,Insight Pro Concealer Palette - Corrector : 15 gms,5060,22,7,230
65,MA-2016-111682,6/17/2022,TB-21055,Spice Valley Mart,Retailer,India,Amritsar,Punjab,North,MAYBELLINE-34632613,Beauty & Cosmetics,Face,Maybelline New York Fit Me Concealer - 30 Honey : 6.8 ml,10183,17,9,599
66,MA-2015-135545,11/24/2023,KM-16720,Mother’s Choice Grocers,Retailer,India,Indore,Madhya Pradesh,Central,INSIGHT-34632614,Beauty & Cosmetics,Face,Insight Hd Conceal - 04 Golden Sand : 8 gms,5160,24,7,215
67,MA-2015-135545,11/24/2023,KM-16720,Mother’s Choice Grocers,Retailer,India,Indore,Madhya Pradesh,Central,INSIGHT-34632615,Beauty & Cosmetics,Face,Insight Hd Conceal - 01 Sun Beige : 8 gms,2795,13,7,215
68,MA-2015-135545,11/24/2023,KM-16720,Mother’s Choice Grocers,Retailer,India,Indore,Madhya Pradesh,Central,INSIGHT-34632616,Beauty & Cosmetics,Face,Insight HD Concealer - (CR-111) LN 10 : 9 gms,6750,25,6,270
69,MA-2015-135545,11/24/2023,KM-16720,Mother’s Choice Grocers,Retailer,India,Indore,Madhya Pradesh,Central,FACES-34632617,Beauty & Cosmetics,Face,Faces Canada Ultime Pro HD Concealer - Toffee Love : 3.8 ml,8784,16,2,549
70,MA-2015-164175,4/30/2023,PS-18970,FreshWave Superstore,Super Store,India,Thiruvananthapuram,Kerala,South,GARNIER-34632618,Beauty & Cosmetics,Face,Garnier Bright Complete 30x Vitamin C Booster Face Serum : 15 ml,5382,18,10,299
71,UT-2014-106376,12/5/2022,BS-11590,Romeo Cafe,Restaurants,India,Ahmedabad,Gujarat,West,PILGRIM-34632619,Beauty & Cosmetics,Face,Pilgrim 24K Gold Serum : 20 ml,10425,15,8,695
72,UT-2014-106376,12/5/2022,BS-11590,Romeo Cafe,Restaurants,India,Ahmedabad,Gujarat,West,PLUM-34632620,Beauty & Cosmetics,Face,Plum Vitamin C Face Serum With Mandarin : 20 ml,7700,14,9,550
73,GU-2016-119823,6/4/2022,KD-16270,Shree Grocery Mart,Retailer,India,Indore,Madhya Pradesh,Central,LAKME-34632621,Beauty & Cosmetics,Face,Lakme 9to5 Vitamin C+ Facial Serum : 30 ml,10384,16,6,649
74,MA-2016-106075,9/18/2022,HM-14980,Greenway Grocers,Retailer,India,Ahmedabad,Gujarat,West,WOW-34632622,Beauty & Cosmetics,Face,WOW Skin Science Vit C Face Serum : 30 ml,17475,25,6,699
75,MA-2017-114440,9/14/2023,TB-21520,Organic Pantry,Retailer,India,Amritsar,Punjab,North,NEUTROGENA-34632623,Beauty & Cosmetics,Face,Neutrogena Bright Boost Illuminating Face Serum : 30 ml,20250,15,6,1350
76,UT-2015-134026,4/26/2023,JE-15745,The Grain Shop,Retailer,India,Chennai,Tamil Nadu,South,PLUM-34632624,Beauty & Cosmetics,Face,Plum Bakuchiol & Retinol 1% Serum : 20 ml,7700,14,4,550
77,UT-2015-134026,4/26/2023,JE-15745,The Grain Shop,Retailer,India,Chennai,Tamil Nadu,South,OLAY-34632625,Beauty & Cosmetics,Face,Olay Total Effects 7InOne Daily Serum : 50 ml,13986,14,9,999
78,UT-2015-134026,4/26/2023,JE-15745,The Grain Shop,Retailer,India,Chennai,Tamil Nadu,South,FACES-34632626,Beauty & Cosmetics,Face,Faces Canada Pink Aloe Vera Hydration Face Serum : 27 ml,5490,10,9,549
79,UT-2017-118038,12/9/2023,KB-16600,My Breakfast,Restaurants,India,Udaipur,Rajasthan,West,SOULFLOWER-34632627,Beauty & Cosmetics,Face,Soulflower Brightening Wand Face Serum : 15 ml,8550,19,8,450
80,UT-2017-118038,12/9/2023,KB-16600,My Breakfast,Restaurants,India,Udaipur,Rajasthan,West,LAKME-34632628,Beauty & Cosmetics,Face,Lakme Absolute Youth Infinity Serum : 15 ml,11976,24,6,499
81,UT-2017-118038,12/9/2023,KB-16600,My Breakfast,Restaurants,India,Udaipur,Rajasthan,West,AMUL-32467832,Dairy & Beverages,Dairy,Amul Taaza Toned Milk : 200 ml,192,12,6,16
82,UT-2014-147606,11/26/2022,JE-15745,The Grain Shop,Retailer,India,Chennai,Tamil Nadu,South,AMUL-32467833,Dairy & Beverages,Dairy,Amul Taaza Toned Milk : 1 Litre x 12 Units,16872,19,8,888
83,UT-2016-127208,6/12/2022,SC-20770,Masha Allah Hot And Cool Point,Restaurants,India,Mumbai,Maharashtra,West,MILKY-32467834,Dairy & Beverages,Dairy,Milky Mist UHT Sterilized Toned Milk : 1 Litre,880,11,10,80
84,UT-2016-127208,6/12/2022,SC-20770,Masha Allah Hot And Cool Point,Restaurants,India,Mumbai,Maharashtra,West,AMUL-32467835,Dairy & Beverages,Dairy,Amul Gold Homogenised Standardised Milk : 1 Litre,800,10,7,80
85,MA-2014-139451,10/12/2022,DN-13690,Urban Market Groceries,Retailer,India,Vijayawada,Andhra Pradesh,South,NANDINI-32467836,Dairy & Beverages,Dairy,Nandini Good Life Toned Milk : 1 Litre,1606,22,9,73
86,MA-2014-139451,10/12/2022,DN-13690,Urban Market Groceries,Retailer,India,Vijayawada,Andhra Pradesh,South,AMUL-32467837,Dairy & Beverages,Dairy,Amul Slim-n-Trim Skimmed Milk : 1 Litre,2160,27,9,80
87,WE-2015-149734,9/3/2023,JC-16105,Tipsy Cafe'ee,Restaurants,India,Prayagraj,Uttar Pradesh,North,NESTLE-32467838,Dairy & Beverages,Dairy,Nestle A+ Toned Milk : 1 Litre,2775,25,7,111
88,MA-2017-119662,11/13/2023,CS-12400,UrbanEdge Superstore,Super Store,India,Shimla,Himachal Pradesh,North,MOTHER-32467839,Dairy & Beverages,Dairy,Mother Dairy Toned Milk : 1 Litre,1406,19,8,74
89,TA-2017-140088,5/28/2023,PO-18865,Village Harvest Store,Retailer,India,Bhubaneswar,Odisha,East,RAW-32467840,Dairy & Beverages,Dairy,Raw Pressery Almond Milk Plain (Unsweetened) : 1 Litre,8775,27,5,325
90,KE-2017-155558,10/26/2023,PG-18895,Aahar Fresh Mart,Retailer,India,Indore,Madhya Pradesh,Central,AMUL-32467841,Dairy & Beverages,Dairy,Amul Kool Kesar Milk : 180 ml,325,13,7,25
91,KE-2017-155558,10/26/2023,PG-18895,Aahar Fresh Mart,Retailer,India,Indore,Madhya Pradesh,Central,AMUL-32467842,Dairy & Beverages,Dairy,Amul Kool Badam Milk : 180 ml,525,21,6,25
92,UT-2016-159695,4/5/2022,GM-14455,GrandBazaar Hypermart,Super Store,India,Gurgaon,Haryana,North,SOFIT-32467843,Dairy & Beverages,Dairy,Sofit Soya Drink Vanilla : 1 Litre,3875,25,5,155
93,MA-2016-109806,9/17/2022,JS-15685,Parzi Cafe,Restaurants,India,Faridabad,Haryana,North,AMUL-32467844,Dairy & Beverages,Dairy,Amul Kool Cafe Milk : 200 ml,540,18,6,30
94,MA-2016-109806,9/17/2022,JS-15685,Parzi Cafe,Restaurants,India,Faridabad,Haryana,North,AMUL-32467845,Dairy & Beverages,Dairy,Amul Kool Elaichi Milk : 180 ml,600,24,10,25
95,MA-2016-109806,9/17/2022,JS-15685,Parzi Cafe,Restaurants,India,Faridabad,Haryana,North,CAVIN'S-32467846,Dairy & Beverages,Dairy,Cavin's Chocolate Milkshake : 1 Litre,3600,15,9,240
96,KE-2015-149587,1/31/2023,KB-16315,City Bazaar,Retailer,India,Mumbai,Maharashtra,West,SOFIT-32467847,Dairy & Beverages,Dairy,Sofit Soya Drink Naturally Sugar Free : 1 Litre,4030,26,8,155
97,KE-2015-149587,1/31/2023,KB-16315,City Bazaar,Retailer,India,Mumbai,Maharashtra,West,CAVIN'S-32467848,Dairy & Beverages,Dairy,Cavin's Vanilla Milkshake : 1 Litre,5040,21,9,240
98,KE-2015-149587,1/31/2023,KB-16315,City Bazaar,Retailer,India,Mumbai,Maharashtra,West,AMUL-32467849,Dairy & Beverages,Dairy,Amul Kool Rose Milk : 180 ml,575,23,9,25
99,KE-2017-109484,11/6/2023,RB-19705,Horizon SuperMart,Super Store,India,Udaipur,Rajasthan,West,NESTLÉ-32467850,Dairy & Beverages,Dairy,Nestlé Slim Milk : 1 Litre,2200,22,7,100
100,MA-2017-161018,11/9/2023,PN-18775,MetroMax Superstore,Super Store,India,Patna,Bihar,East,AMUL-32467851,Dairy & Beverages,Dairy,Amul Lactose Free Milk : 200 ml,250,10,6,25
101,MA-2017-157833,6/17/2023,KD-16345,Veggie Mart Grocers,Retailer,India,Amritsar,Punjab,North,GOVIND-32467852,Dairy & Beverages,Dairy,Govind Funzz Pista Flavoured Milk Bottle : 200 ml,810,27,5,30
102,KE-2016-149223,9/6/2022,ER-13855,Barbeque Nation,Restaurants,India,Amritsar,Punjab,North,GOVIND-32467853,Dairy & Beverages,Dairy,Govind Funzz Mango Flavored Milk Bottle : 200 ml,660,22,7,30
103,MA-2016-158568,8/29/2022,RB-19465,Stellar Mart,Super Store,India,Faridabad,Haryana,North,CHITALE-32467854,Dairy & Beverages,Dairy,Chitale Flavoured Milk Butterscotch : 200 ml,510,17,10,30
104,MA-2016-158568,8/29/2022,RB-19465,Stellar Mart,Super Store,India,Faridabad,Haryana,North,GOVIND-32467855,Dairy & Beverages,Dairy,Govind Funzz Butterscotch Flavoured Milk Bottle : 200 ml,360,12,6,30
105,MA-2016-158568,8/29/2022,RB-19465,Stellar Mart,Super Store,India,Faridabad,Haryana,North,GOVIND-32467856,Dairy & Beverages,Dairy,Govind Funzz Chocolate Flavored Milk Bottle : 200 ml,660,22,5,30
106,KE-2016-129903,12/1/2022,GZ-14470,Apna Grocery House,Retailer,India,Pune,Maharashtra,West,GOVIND-32467857,Dairy & Beverages,Dairy,Govind Kesar Flavoured Double Toned Milk Bottle : 200 ml,570,19,7,30
107,MA-2015-156867,11/13/2023,LC-16870,Fresh Basket Mart,Retailer,India,Hyderabad,Telangana,South,CHITALE-32467858,Dairy & Beverages,Dairy,Chitale Flavoured Milk - Coffee : 200 ml,560,16,7,35
108,MA-2015-156867,11/13/2023,LC-16870,Fresh Basket Mart,Retailer,India,Hyderabad,Telangana,South,AMUL-32467859,Dairy & Beverages,Dairy,Amul Basundi Kesar Elaichi : 1 Litre,2535,13,6,195
109,MA-2015-156867,11/13/2023,LC-16870,Fresh Basket Mart,Retailer,India,Hyderabad,Telangana,South,CHITALE-32467860,Dairy & Beverages,Dairy,Chitale Flavoured Milk Rose : 200 ml,540,18,4,30
110,WE-2017-119004,11/23/2023,JM-15250,Annapurna Essentials,Retailer,India,Chennai,Tamil Nadu,South,AMUL-32467861,Dairy & Beverages,Dairy,Amul Kadhai Doodh : 200 ml,660,22,10,30
111,WE-2017-119004,11/23/2023,JM-15250,Annapurna Essentials,Retailer,India,Chennai,Tamil Nadu,South,AMUL-32467862,Dairy & Beverages,Dairy,Amul Butter : 500 gms,6555,23,9,285
112,WE-2017-119004,11/23/2023,JM-15250,Annapurna Essentials,Retailer,India,Chennai,Tamil Nadu,South,MOTHER-32467863,Dairy & Beverages,Dairy,Mother Dairy Pasteurized Butter : 500 gms,5700,20,5,285
113,MA-2015-129476,10/15/2023,PA-19060,TrueValue Superstore,Super Store,India,Gurgaon,Haryana,North,AMUL-32467864,Dairy & Beverages,Dairy,Amul Garlic & Herbs Buttery Spread : 100 gms,975,15,5,65
114,,,,,,,,,,,,,,,,,
115,MA-2017-146780,12/25/2023,CV-12805,Social,Restaurants,India,Agra,Uttar Pradesh,North,AMUL-32467866,Dairy & Beverages,Dairy,Amul Butter Unsalted : 500 gms,6785,23,9,295
116,GU-2016-128867,11/3/2022,CL-12565,Simply Organic Mart,Retailer,India,Dehradun,Uttarakhand,North,NUTRALITE-32467867,Dairy & Beverages,Dairy,Nutralite Fat Spread Tub : 500 gms,7560,27,10,280
117,GU-2016-128867,11/3/2022,CL-12565,Simply Organic Mart,Retailer,India,Dehradun,Uttarakhand,North,CHITALE-32467868,Dairy & Beverages,Dairy,Chitale Pasteurised Table Butter : 500 gms,3575,13,9,275
118,PU-2014-115259,8/25/2022,RC-19960,The Fresh Choice,Retailer,India,Bhopal,Madhya Pradesh,Central,DELICIOUS-32467869,Dairy & Beverages,Dairy,Delicious Fat Spread : 500 gms,2024,22,10,92
119,PU-2014-115259,8/25/2022,RC-19960,The Fresh Choice,Retailer,India,Bhopal,Madhya Pradesh,Central,NUTRALITE-32467870,Dairy & Beverages,Dairy,Nutralite Fat Spread UKE : 500 gms,3780,14,9,270
